hhnum,strrec,regcode,psurec,provcode,prelacteal2,predom_0to5,mmf_6to23,member_code,mdd,mad_6to23_new,introcomple_6to8,agemos,firstbf2,finalwgt,exbf_0to5,ever_bf2,duration_bf,dds_6to23,current_fd_recall2,cont_20to23,cont_12to15,bottle_status,age_appro_all
1004,11,1,1,33,9999,9999,1,8,0,0,1,8.52,9999,748.6038,9999,0,9999,2,9,9999,9999,1,0
1014,13,1,4,33,0,0,9999,9,9999,9999,9999,1.32,1,792.1287,1,1,1,9999,1,9999,9999,0,1
1022,13,1,4,33,0,9999,1,8,0,0,1,6.84,1,791.8155,9999,1,6,2,3,9999,9999,0,1
1023,13,1,4,33,1,0,9999,11,9999,9999,9999,3.72,1,791.8155,0,1,0,9999,9,9999,9999,1,0
1023,13,1,4,33,9999,9999,1,12,0,0,9999,21.72,9999,792.1287,9999,0,9999,2,9,0,9999,1,0
1031,16,1,4,33,0,9999,1,6,0,0,9999,9,1,728.2358,9999,1,0,2,9,9999,9999,1,0
1032,16,1,4,33,1,9999,1,7,0,0,1,8.4,3,728.2358,9999,1,8,1,3,9999,9999,1,1
1041,16,1,4,33,9999,0,9999,5,9999,9999,9999,4.56,9999,728.2358,0,0,9999,9999,8,9999,9999,1,0
1044,16,1,4,33,0,0,9999,8,9999,9999,9999,2.4,1,728.2358,1,1,2,9999,1,9999,9999,0,1
1062,15,1,3,33,0,9999,1,7,1,1,9999,16.44,1,711.8754,9999,1,16,4,3,9999,9999,0,1
1068,15,1,3,33,1,1,9999,10,9999,9999,9999,3.72,1,712.157,0,1,3,9999,2,9999,9999,0,0
1068,15,1,3,33,1,9999,1,7,1,0,9999,19.44,1,711.8754,9999,1,6,4,11,9999,9999,1,0
700,12,1,3,33,0,9999,1,6,1,0,9999,17.04,1,738.2142,9999,1,4,4,10,9999,9999,1,0
706,12,1,3,33,0,9999,0,6,0,0,9999,10.08,2,738.2142,9999,1,10,1,3,9999,9999,0,1
712,12,1,3,33,0,0,9999,12,9999,9999,9999,2.88,3,738.5063,0,1,1,9999,8,9999,9999,1,0
712,12,1,3,33,0,9999,1,8,0,0,9999,10.44,1,738.5063,9999,1,10,1,3,9999,9999,0,1
721,13,1,1,33,0,9999,1,6,0,0,9999,18.36,1,791.8155,9999,1,18,3,5,9999,9999,1,1
727,13,1,1,33,0,9999,0,6,0,0,0,6.48,1,791.8155,9999,1,6,0,2,9999,9999,0,0
728,13,1,1,33,0,9999,0,5,0,0,9999,12.12,1,792.1287,9999,1,12,0,1,9999,1,0,0
734,13,1,1,33,1,9999,1,7,0,0,1,8.28,3,792.1287,9999,1,8,1,3,9999,9999,0,1
735,13,1,1,33,0,9999,0,8,0,0,0,6.96,1,792.1287,9999,1,6,0,1,9999,9999,0,0
736,13,1,1,33,0,9999,1,7,0,0,9999,21,1,791.8155,9999,1,12,2,9,0,9999,1,0
736,13,1,1,33,0,9999,1,8,0,0,1,6.96,1,791.8155,9999,1,6,1,3,9999,9999,0,1
740,12,1,2,33,0,9999,1,6,1,0,9999,21.36,2,738.5063,9999,1,11,4,10,0,9999,0,0
747,12,1,2,33,0,9999,1,8,1,1,1,6.72,2,738.5063,9999,1,6,4,3,9999,9999,0,1
748,12,1,2,33,1,0,9999,9,9999,9999,9999,2.88,1,738.2142,0,1,0,9999,8,9999,9999,1,0
750,12,1,2,33,0,0,9999,4,9999,9999,9999,2.04,1,738.5063,1,1,2,9999,1,9999,9999,0,1
753,12,1,2,33,0,0,9999,6,9999,9999,9999,0.72,1,738.2142,0,1,0,9999,8,9999,9999,1,0
754,12,1,2,33,0,0,9999,8,9999,9999,9999,0.72,1,738.5063,1,1,0,9999,1,9999,9999,0,1
762,12,1,4,33,0,9999,1,8,0,0,9999,19.32,1,738.5063,9999,1,19,1,3,9999,9999,1,1
765,12,1,4,33,0,0,9999,9,9999,9999,9999,3.96,1,738.2142,1,1,3,9999,1,9999,9999,0,1
773,12,1,4,33,0,9999,1,4,1,0,9999,18.6,1,738.5063,9999,1,6,4,10,9999,9999,1,0
775,15,1,4,33,0,9999,1,5,0,0,9999,11.04,1,712.157,9999,1,4,2,10,9999,9999,1,0
779,15,1,4,33,0,0,9999,7,9999,9999,9999,5.88,3,711.8754,0,1,5,9999,5,9999,9999,1,0
779,15,1,4,33,0,0,9999,8,9999,9999,9999,5.88,3,711.8754,0,1,5,9999,5,9999,9999,1,0
789,15,1,4,33,0,0,9999,7,9999,9999,9999,5.88,1,712.157,0,1,5,9999,3,9999,9999,0,0
790,15,1,4,33,0,9999,1,5,0,0,9999,20.04,1,712.157,9999,1,20,2,10,0,9999,1,0
796,13,1,3,33,0,9999,1,8,1,0,9999,23.64,2,791.8155,9999,1,4,4,10,0,9999,1,0
797,13,1,3,33,1,9999,1,8,1,1,9999,18,3,791.8155,9999,1,18,4,7,9999,9999,1,1
799,13,1,3,33,0,9999,1,12,0,0,9999,20.4,1,792.1287,9999,1,8,3,10,0,9999,1,0
814,16,1,3,33,0,0,9999,6,9999,9999,9999,3,3,727.9479,1,1,3,9999,1,9999,9999,0,1
816,16,1,3,33,0,1,9999,6,9999,9999,9999,5.04,1,728.2358,0,1,5,9999,2,9999,9999,0,0
820,16,1,3,33,0,9999,0,5,0,0,9999,9.48,1,728.2358,9999,1,9,1,3,9999,9999,0,1
824,11,1,4,33,0,9999,1,7,1,0,9999,14.4,1,748.8999,9999,1,8,4,10,9999,0,1,0
833,11,1,4,33,0,9999,1,5,0,0,9999,10.92,1,748.8999,9999,1,8,2,9,9999,9999,1,0
834,11,1,4,33,0,9999,1,5,0,0,9999,23.76,1,748.6038,9999,1,12,3,10,0,9999,1,0
873,16,1,1,33,9999,9999,1,7,0,0,9999,9.48,9999,727.9479,9999,0,9999,2,9,9999,9999,1,0
878,16,1,1,33,0,9999,1,8,0,0,9999,20.16,2,727.9479,9999,1,20,2,6,1,9999,0,1
902,14,1,1,33,0,9999,1,5,0,0,9999,23.64,1,725.1456,9999,1,23,2,6,1,9999,1,1
920,14,1,3,33,0,9999,1,8,0,0,9999,22.68,3,725.1456,9999,1,2,3,9,0,9999,1,0
923,14,1,3,33,0,9999,1,7,0,0,9999,11.28,1,725.4324,9999,1,2,3,9,9999,9999,1,0
929,14,1,3,33,0,9999,1,5,1,1,9999,23.28,1,725.1456,9999,1,7,5,10,0,9999,1,0
953,14,1,4,33,0,9999,1,4,0,0,9999,20.4,1,725.1456,9999,1,15,3,10,0,9999,0,0
977,15,1,2,33,0,9999,1,3,0,0,1,6.36,1,711.8754,9999,1,6,2,5,9999,9999,1,1
988,11,1,2,33,1,9999,1,5,0,0,9999,11.52,1,748.8999,9999,1,11,2,3,9999,9999,0,1
995,11,1,1,33,0,9999,1,5,0,0,1,8.76,1,748.6038,9999,1,3,2,9,9999,9999,1,0
1082,36,1,3,55,0,9999,1,7,0,0,9999,11.04,1,740.9746,9999,1,11,3,3,9999,9999,0,1
1103,31,1,2,55,0,0,9999,7,9999,9999,9999,0.36,3,738.0638,0,1,0,9999,4,9999,9999,1,0
1115,28,1,2,55,1,9999,1,9,0,0,9999,10.92,3,754.1809,9999,1,10,2,5,9999,9999,1,1
1123,28,1,2,55,0,9999,1,8,1,0,9999,21.72,1,754.1809,9999,1,12,4,10,0,9999,1,0
1127,28,1,2,55,0,0,9999,4,9999,9999,9999,4.8,1,753.8827,1,1,4,9999,1,9999,9999,0,1
1129,25,1,2,55,1,9999,1,7,0,0,9999,19.2,1,781.5094,9999,1,3,3,10,9999,9999,1,0
1129,25,1,2,55,1,0,9999,8,9999,9999,9999,5.64,1,781.5094,0,1,3,9999,9,9999,9999,1,0
1145,25,1,2,55,1,9999,1,4,0,0,9999,22.92,2,781.8186,9999,1,22,1,7,1,9999,0,1
1147,25,1,2,55,9999,9999,1,4,0,0,9999,10.44,9999,781.8186,9999,9999,9999,2,9,9999,9999,1,0
1150,25,1,2,55,1,9999,1,5,0,0,9999,10.8,3,781.5094,9999,1,10,2,3,9999,9999,1,1
1151,25,1,2,55,0,9999,1,13,0,0,9999,17.16,1,781.8186,9999,1,3,2,9,9999,9999,1,0
1155,25,1,2,55,0,9999,1,9,0,0,9999,18.84,1,781.8186,9999,1,18,2,3,9999,9999,0,1
1162,37,1,2,55,0,9999,1,4,0,0,9999,20.64,1,703.8331,9999,1,2,2,10,0,9999,1,0
1163,37,1,2,55,0,9999,1,6,0,0,9999,12,1,703.8331,9999,1,12,1,3,9999,1,0,1
1183,29,1,2,55,9999,9999,1,7,0,0,9999,23.16,9999,761.125,9999,0,9999,2,10,0,9999,0,0
1209,24,1,4,55,0,9999,1,5,1,0,9999,13.68,1,705.4388,9999,1,9,4,10,9999,0,1,0
1243,33,1,2,55,0,9999,1,3,1,0,9999,15.48,1,701.4147,9999,1,1,4,10,9999,0,1,0
1257,26,1,1,55,0,0,9999,8,9999,9999,9999,1.2,2,778.6021,1,1,1,9999,1,9999,9999,0,1
1279,31,1,4,55,0,9999,1,6,0,0,9999,9.24,3,738.0638,9999,1,6,2,9,9999,9999,0,0
1297,32,1,4,55,9999,0,9999,7,9999,9999,9999,0.6,9999,727.84,0,0,9999,9999,8,9999,9999,0,0
1300,32,1,4,55,9999,9999,1,9,0,0,1,7.2,9999,727.5522,9999,0,9999,2,9,9999,9999,0,0
